corpus,run,fold,score
fisher2,9,9,0.80188679245283023
fisher2,10,0,0.81046312178387647
fisher2,10,1,0.79331046312178388
fisher2,10,2,0.78902229845626071
fisher2,10,3,0.81903945111492282
fisher2,10,4,0.79759862778730706
fisher2,10,5,0.80944206008583686
fisher2,10,6,0.79674099485420236
fisher2,10,7,0.81475128644939965
fisher2,10,8,0.79588336192109777
fisher2,10,9,0.8224699828473413
fisher2,11,0,0.82075471698113212
fisher2,11,1,0.8061749571183533
fisher2,11,2,0.78559176672384223
fisher2,11,3,0.807032590051458
fisher2,11,4,0.80789022298456259
fisher2,11,5,0.81545064377682408
fisher2,11,6,0.81732418524871353
fisher2,11,7,0.80017152658662094
fisher2,11,8,0.79416809605488847
fisher2,11,9,0.81989708404802741
fisher2,12,0,0.80017152658662094
fisher2,12,1,0.81046312178387647
fisher2,12,2,0.80445969125214412
fisher2,12,3,0.80188679245283023
fisher2,12,4,0.83361921097770153
fisher2,12,5,0.7862660944206008
fisher2,12,6,0.81989708404802741
fisher2,12,7,0.81475128644939965
fisher2,12,8,0.79845626072041165
fisher2,12,9,0.79331046312178388
fisher2,13,0,0.80102915951972553
fisher2,13,1,0.81132075471698117
fisher2,13,2,0.80017152658662094
fisher2,13,3,0.82590051457975988
fisher2,13,4,0.80188679245283023
fisher2,13,5,0.80772532188841206
fisher2,13,6,0.81303602058319036
fisher2,13,7,0.80274442538593482
fisher2,13,8,0.79416809605488847
fisher2,13,9,0.807032590051458
fisher2,14,0,0.79759862778730706
fisher2,14,1,0.81046312178387647
fisher2,14,2,0.80445969125214412
fisher2,14,3,0.80960548885077188
fisher2,14,4,0.79845626072041165
fisher2,14,5,0.80858369098712446
fisher2,14,6,0.807032590051458
fisher2,14,7,0.81217838765008576
fisher2,14,8,0.81646655231560894
fisher2,14,9,0.80102915951972553
fisher2,15,0,0.78044596912521436
fisher2,15,1,0.81475128644939965
fisher2,15,2,0.79245283018867929
fisher2,15,3,0.81217838765008576
fisher2,15,4,0.81303602058319036
fisher2,15,5,0.82145922746781119
fisher2,15,6,0.80960548885077188
fisher2,15,7,0.7898799313893653
fisher2,15,8,0.79759862778730706
fisher2,15,9,0.81732418524871353
fisher2,16,0,0.81389365351629506
fisher2,16,1,0.77873070325900517
fisher2,16,2,0.81818181818181823
fisher2,16,3,0.84562607204116635
fisher2,16,4,0.82075471698113212
fisher2,16,5,0.80772532188841206
fisher2,16,6,0.81046312178387647
fisher2,16,7,0.79502572898799317
fisher2,16,8,0.76415094339622647
fisher2,16,9,0.79845626072041165
fisher2,17,0,0.80960548885077188
fisher2,17,1,0.80188679245283023
fisher2,17,2,0.83361921097770153
fisher2,17,3,0.78902229845626071
fisher2,17,4,0.79159519725557459
fisher2,17,5,0.81974248927038629
fisher2,17,6,0.79073756432247
fisher2,17,7,0.81818181818181823
fisher2,17,8,0.81560891938250424
fisher2,17,9,0.78644939965694682
fisher2,18,0,0.80960548885077188
fisher2,18,1,0.81560891938250424
fisher2,18,2,0.79845626072041165
fisher2,18,3,0.79674099485420236
fisher2,18,4,0.79416809605488847
fisher2,18,5,0.81287553648068667
fisher2,18,6,0.80789022298456259
fisher2,18,7,0.81903945111492282
fisher2,18,8,0.81217838765008576
fisher2,18,9,0.79502572898799317
fisher2,19,0,0.81389365351629506
fisher2,19,1,0.80360205831903941
fisher2,19,2,0.8061749571183533
fisher2,19,3,0.8061749571183533
fisher2,19,4,0.80874785591766729
fisher2,19,5,0.80171673819742484
fisher2,19,6,0.80874785591766729
fisher2,19,7,0.78816466552315612
fisher2,19,8,0.80874785591766729
fisher2,19,9,0.80789022298456259
fisher2,20,0,0.79073756432247
fisher2,20,1,0.80188679245283023
fisher2,20,2,0.80531732418524871
fisher2,20,3,0.81217838765008576
fisher2,20,4,0.7898799313893653
fisher2,20,5,0.82145922746781119
fisher2,20,6,0.80789022298456259
fisher2,20,7,0.807032590051458
fisher2,20,8,0.81389365351629506
fisher2,20,9,0.80188679245283023
fisher2,21,0,0.81818181818181823
fisher2,21,1,0.80188679245283023
fisher2,21,2,0.78730703259005141
fisher2,21,3,0.82418524871355059
fisher2,21,4,0.81475128644939965
fisher2,21,5,0.81888412017167378
fisher2,21,6,0.8061749571183533
fisher2,21,7,0.79245283018867929
fisher2,21,8,0.79416809605488847
fisher2,21,9,0.80188679245283023
fisher2,22,0,0.81475128644939965
fisher2,22,1,0.81818181818181823
fisher2,22,2,0.807032590051458
fisher2,22,3,0.81560891938250424
fisher2,22,4,0.774442538593482
fisher2,22,5,0.78969957081545061
fisher2,22,6,0.80274442538593482
fisher2,22,7,0.81903945111492282
fisher2,22,8,0.80360205831903941
fisher2,22,9,0.81989708404802741
fisher2,23,0,0.79759862778730706
fisher2,23,1,0.81303602058319036
fisher2,23,2,0.79073756432247
fisher2,23,3,0.81560891938250424
fisher2,23,4,0.81217838765008576
fisher2,23,5,0.79656652360515023
fisher2,23,6,0.80789022298456259
fisher2,23,7,0.80960548885077188
fisher2,23,8,0.80360205831903941
fisher2,23,9,0.8061749571183533
fisher2,24,0,0.78301886792452835
fisher2,24,1,0.79245283018867929
fisher2,24,2,0.79588336192109777
fisher2,24,3,0.8061749571183533
fisher2,24,4,0.81732418524871353
fisher2,24,5,0.82489270386266089
